id,installed,latitude,locked,longitude,name,bikes_count,docks_count,nbEmptyDocks,temporary,terminal_name,install_date,removal_date
250,true,51.489932,false,-0.162727,"Royal Avenue 1, Chelsea",0,10,9,false,3440,2010-07-20,
280,true,51.490083,false,-0.162418,"Royal Avenue 2, Chelsea",0,10,10,false,3462,2010-07-21,
334,true,51.505044,false,-0.115851,"Concert Hall Approach 1, South Bank",0,10,10,false,2635,2010-07-26,
118,true,51.49582705,false,-0.13547809,"Rochester Row, Westminster",0,13,13,false,3457,2010-07-14,
404,true,51.50204238,false,-0.184400221,"Palace Gate, Kensington Gardens",7,13,6,false,1110,2011-03-09,
240,true,51.50545935,false,-0.10569204,"Colombo Street, Southwark",0,14,14,false,3472,2010-07-20,
388,true,51.51070161,false,-0.121723604,"Southampton Street, Strand",0,14,14,false,1228,2011-02-08,
381,true,51.51953043,false,-0.13577731,"Charlotte Street, Fitzrovia",1,14,13,false,2669,2011-01-28,
171,true,51.4916156,false,-0.186753859,"Collingham Gardens, Earl's Court",6,14,8,false,3459,2010-07-16,
185,true,51.48805753,false,-0.140741432,"Alderney Street, Pimlico",9,14,5,false,1174,2010-07-17,
200,true,51.51492456,false,-0.066078037,"LMU Commercial Road, Whitechapel",9,14,5,false,1105,2010-07-18,
165,true,51.517932,false,-0.183716959,"Orsett Terrace, Bayswater",0,15,15,false,2585,2010-07-16,
289,true,51.50923022,false,-0.151296092,"South Audley Street, Mayfair",0,15,15,false,3493,2010-07-22,
382,true,51.50935171,false,-0.14744969,"Farm Street, Mayfair",0,15,15,false,2678,2011-02-08,
82,true,51.514274,false,-0.111257,"Chancery Lane, Holborn",1,15,14,false,3453,2010-07-13,
356,true,51.494412,false,-0.173881,"South Kensington Station, South Kensington",1,15,14,false,2685,2010-10-25,
395,true,51.492462,false,-0.159919,"Cadogan Gardens, Chelsea",1,15,10,false,2695,2011-02-28,
384,true,51.496481,false,-0.192404,"Marloes Road, Kensington",2,15,12,false,3505,2011-02-03,
402,true,51.52289229,false,-0.171681991,"Penfold Street, Marylebone",2,15,12,false,10625,2011-03-08,
256,true,51.51362054,false,-0.116764211,"Houghton Street, Strand",3,15,12,false,3484,2010-07-21,
324,true,51.49652013,false,-0.101384068,"Ontario Street, Elephant & Castle",3,15,10,false,1200,2010-07-23,
393,true,51.51733427,false,-0.103604248,"Snow Hill, Farringdon",5,15,10,false,2699,2011-02-24,
419,true,51.485821,false,-0.149004,"Chelsea Bridge, Pimlico",5,15,10,false,22160,2011-06-22,
377,true,51.50535447,false,-0.113656543,"Waterloo Bridge, South Bank",7,15,8,false,2648,2011-01-17,
203,true,51.51821864,false,-0.100791005,"West Smithfield Rotunda, Farringdon",9,15,5,false,1040,2010-07-18,
261,true,51.5134891,false,-0.191351186,"Princes Square, Bayswater",9,15,4,false,3491,2010-07-21,
173,true,51.50486,false,-0.113001,"Waterloo Road, South Bank",10,15,4,false,1176,2010-07-16,
405,true,51.49418566,false,-0.18267094,"Gloucester Road Station, South Kensington",13,15,2,false,1107,2011-03-09,
23,true,51.51943538,false,-0.119123345,"Red Lion Square, Holborn",0,16,16,false,3421,2010-07-06,
49,true,51.50706909,false,-0.145904427,"Curzon Street, Mayfair",0,16,15,false,3437,2010-07-10,
56,true,51.52058381,false,-0.154701411,"Paddington Street, Marylebone",0,16,15,false,1033,2010-07-10,
192,true,51.51251523,false,-0.133201961,"Wardour Street, Soho",0,16,15,false,1163,2010-07-17,
221,true,51.49481649,false,-0.13045856,"Horseferry Road, Westminster",0,16,16,false,1170,2010-07-19,
306,true,51.51816295,false,-0.135025698,"Rathbone Street, Fitzrovia",0,16,15,false,3497,2010-07-22,
315,true,51.52536703,false,-0.153463612,"The Tennis Courts, The Regent's Park",0,16,15,false,1199,2010-07-23,
340,true,51.51444134,false,-0.087587447,"Bank of England Museum, Bank",0,16,16,false,1201,2010-07-27,
528,true,51.507326,false,-0.145827,"Clarges Street, Mayfair",0,16,16,false,200088,2012-02-09,
646,true,51.49886563,false,-0.137424571,"Buckingham Gate, Westminster",0,16,15,false,200178,2013-10-18,
40,true,51.52127071,false,-0.0755789,"Commercial Street, Shoreditch",1,16,15,false,1083,2010-07-08,
232,true,51.51501025,false,-0.112753217,"Carey Street, Holborn",1,16,15,false,1139,2010-07-20,
257,true,51.52248185,false,-0.154907218,"Westminster University, Marylebone",1,16,14,false,1194,2010-07-21,
292,true,51.49888404,false,-0.165471605,"Montpelier Street, Knightsbridge",1,16,14,false,1206,2010-07-22,
367,true,51.5173721,false,-0.1642075,"Harrowby Street, Marylebone",1,16,15,false,2680,,
386,true,51.51352755,false,-0.130110822,"Moor Street, Soho",1,16,15,false,3504,2011-02-03,
99,true,51.51457763,false,-0.158264483,"Old Quebec Street, Marylebone",2,16,11,false,1085,2010-07-14,
403,true,51.51689296,false,-0.158249929,"George Place Mews, Marylebone",2,16,13,false,10630,2011-03-08,
87,true,51.51646835,false,-0.079684557,"Devonshire Square, Liverpool Street",3,16,13,false,3438,2010-07-13,
294,true,51.488226,false,-0.135635511,"St. George's Square, Pimlico",3,16,12,false,1195,2010-07-22,
7,true,51.53430039,false,-0.1680743,"Charlbert Street, St. John's Wood",5,16,11,false,3422,2010-07-04,
